 0.1,  0.1,    1,   205,   121
 0.1,  0.1,    5,   205,    59
 0.1,  0.1,   10,   205,    27
 0.1,  0.1,   30,   205,    14
 0.1,  0.1,  100,   205,    14
 0.1,  0.3,    1,   205,    86
 0.1,  0.3,    5,   205,    64
 0.1,  0.3,   10,   205,    27
 0.1,  0.3,   30,   205,    14
 0.1,  0.3,  100,   205,     6
 0.1,  0.5,    1,   205,    90
 0.1,  0.5,    5,   205,    47
 0.1,  0.5,   10,   205,    43
 0.1,  0.5,   30,   205,    16
 0.1,  0.5,  100,   205,     6
 0.1,  0.7,    1,   205,   101
 0.1,  0.7,    5,   205,    53
 0.1,  0.7,   10,   205,    27
 0.1,  0.7,   30,   205,    16
 0.1,  0.7,  100,   205,    14
 0.1,  0.9,    1,   205,   120
 0.1,  0.9,    5,   205,    56
 0.1,  0.9,   10,   205,    49
 0.1,  0.9,   30,   205,    14
 0.1,  0.9,  100,   205,     6
 0.3,  0.1,    1,   205,   178
 0.3,  0.1,    5,   205,    70
 0.3,  0.1,   10,   205,    49
 0.3,  0.1,   30,   205,    38
 0.3,  0.1,  100,   205,    14
 0.3,  0.3,    1,   205,   139
 0.3,  0.3,    5,   205,    89
 0.3,  0.3,   10,   205,    55
 0.3,  0.3,   30,   205,    27
 0.3,  0.3,  100,   205,    14
 0.3,  0.5,    1,   205,   137
 0.3,  0.5,    5,   205,    70
 0.3,  0.5,   10,   205,    43
 0.3,  0.5,   30,   205,    32
 0.3,  0.5,  100,   205,    15
 0.3,  0.7,    1,   205,   111
 0.3,  0.7,    5,   205,    99
 0.3,  0.7,   10,   205,    47
 0.3,  0.7,   30,   205,    23
 0.3,  0.7,  100,   205,    14
 0.3,  0.9,    1,   205,    99
 0.3,  0.9,    5,   205,    84
 0.3,  0.9,   10,   205,    53
 0.3,  0.9,   30,   205,    47
 0.3,  0.9,  100,   205,    14
 0.5,  0.1,    1,   205,   177
 0.5,  0.1,    5,   205,   114
 0.5,  0.1,   10,   205,    59
 0.5,  0.1,   30,   205,    57
 0.5,  0.1,  100,   205,    15
 0.5,  0.3,    1,   205,   243
 0.5,  0.3,    5,   205,    84
 0.5,  0.3,   10,   205,    95
 0.5,  0.3,   30,   205,    49
 0.5,  0.3,  100,   205,    16
 0.5,  0.5,    1,   205,   152
 0.5,  0.5,    5,   205,   114
 0.5,  0.5,   10,   205,    70
 0.5,  0.5,   30,   205,    55
 0.5,  0.5,  100,   205,    28
 0.5,  0.7,    1,   205,   162
 0.5,  0.7,    5,   205,    88
 0.5,  0.7,   10,   205,    76
 0.5,  0.7,   30,   205,    58
 0.5,  0.7,  100,   205,    27
 0.5,  0.9,    1,   205,   208
 0.5,  0.9,    5,   205,    99
 0.5,  0.9,   10,   205,    73
 0.5,  0.9,   30,   205,    38
 0.5,  0.9,  100,   205,    28
 0.7,  0.1,    1,   205,   227
 0.7,  0.1,    5,   205,   138
 0.7,  0.1,   10,   205,   126
 0.7,  0.1,   30,   205,    97
 0.7,  0.1,  100,   205,    55
 0.7,  0.3,    1,   205,   216
 0.7,  0.3,    5,   205,   156
 0.7,  0.3,   10,   205,   121
 0.7,  0.3,   30,   205,    97
 0.7,  0.3,  100,   205,    53
 0.7,  0.5,    1,   205,   218
 0.7,  0.5,    5,   205,   126
 0.7,  0.5,   10,   205,   126
 0.7,  0.5,   30,   205,    79
 0.7,  0.5,  100,   205,    49
 0.7,  0.7,    1,   205,   219
 0.7,  0.7,    5,   205,   176
 0.7,  0.7,   10,   205,   141
 0.7,  0.7,   30,   205,    57
 0.7,  0.7,  100,   205,    56
 0.7,  0.9,    1,   205,   296
 0.7,  0.9,    5,   205,   132
 0.7,  0.9,   10,   205,   130
 0.7,  0.9,   30,   205,    93
 0.7,  0.9,  100,   205,    51
 0.9,  0.1,    1,   205,   253
 0.9,  0.1,    5,   205,   185
 0.9,  0.1,   10,   205,   190
 0.9,  0.1,   30,   205,   128
 0.9,  0.1,  100,   205,    73
 0.9,  0.3,    1,   205,   289
 0.9,  0.3,    5,   205,   224
 0.9,  0.3,   10,   205,   194
 0.9,  0.3,   30,   205,   132
 0.9,  0.3,  100,   205,    97
 0.9,  0.5,    1,   205,   245
 0.9,  0.5,    5,   205,   177
 0.9,  0.5,   10,   205,   151
 0.9,  0.5,   30,   205,   126
 0.9,  0.5,  100,   205,    78
 0.9,  0.7,    1,   205,   303
 0.9,  0.7,    5,   205,   233
 0.9,  0.7,   10,   205,   173
 0.9,  0.7,   30,   205,   138
 0.9,  0.7,  100,   205,    86
 0.9,  0.9,    1,   205,   320
 0.9,  0.9,    5,   205,   212
 0.9,  0.9,   10,   205,   162
 0.9,  0.9,   30,   205,   123
 0.9,  0.9,  100,   205,    85
